Drug1,Drug2,cell,drug1_db,drug2_db,synergy,fold
5-FU,ABT-888,A2058,DB00544,DB07232,7.6935301658,2
5-FU,ABT-888,A2780,DB00544,DB07232,7.778053060099999,2
5-FU,ABT-888,A375,DB00544,DB07232,-1.1985054379,2
5-FU,ABT-888,CAOV3,DB00544,DB07232,-5.1399712212,2
5-FU,ABT-888,DLD1,DB00544,DB07232,1.9351271188,2
5-FU,ABT-888,ES2,DB00544,DB07232,1.4986504517,2
5-FU,ABT-888,HCT116,DB00544,DB07232,9.4632808694,2
5-FU,ABT-888,HT144,DB00544,DB07232,-3.7013547459,2
5-FU,ABT-888,HT29,DB00544,DB07232,10.1734339084,2
5-FU,ABT-888,KPL1,DB00544,DB07232,2.1570044282,2
5-FU,ABT-888,LOVO,DB00544,DB07232,-8.9792139458,2
5-FU,ABT-888,MDAMB436,DB00544,DB07232,6.8992599953,2
5-FU,ABT-888,NCIH1650,DB00544,DB07232,-5.996370296499999,2
5-FU,ABT-888,NCIH2122,DB00544,DB07232,7.890256814400001,2
5-FU,ABT-888,NCIH23,DB00544,DB07232,-5.0426523057,2
5-FU,ABT-888,NCIH460,DB00544,DB07232,-6.611947916599999,2
5-FU,ABT-888,NCIH520,DB00544,DB07232,3.6988348484,2
5-FU,ABT-888,OV90,DB00544,DB07232,-10.0688476137,2
5-FU,ABT-888,RKO,DB00544,DB07232,-2.6775877856,2
5-FU,ABT-888,RPMI7951,DB00544,DB07232,-2.1732219296,2
5-FU,ABT-888,SKMEL30,DB00544,DB07232,-36.4592295758,2
5-FU,ABT-888,SKMES1,DB00544,DB07232,-0.0864245793999999,2
5-FU,ABT-888,SKOV3,DB00544,DB07232,5.0771773842000005,2
5-FU,ABT-888,SW620,DB00544,DB07232,0.1081077187,2
5-FU,ABT-888,SW837,DB00544,DB07232,-14.5231086273,2
5-FU,ABT-888,T47D,DB00544,DB07232,17.4857954498,2
5-FU,ABT-888,UACC62,DB00544,DB07232,-1.5839637825,2
5-FU,ABT-888,VCAP,DB00544,DB07232,1.0961027615,2
5-FU,ABT-888,ZR751,DB00544,DB07232,-8.6753170435,2
5-FU,AZD1775,A2058,DB00544,DB11740,13.0526874408,1
5-FU,AZD1775,A2780,DB00544,DB11740,11.2772729471,1
5-FU,AZD1775,A375,DB00544,DB11740,2.7051275464,1
5-FU,AZD1775,CAOV3,DB00544,DB11740,23.9861795387,1
5-FU,AZD1775,DLD1,DB00544,DB11740,9.8201244067,1
5-FU,AZD1775,ES2,DB00544,DB11740,10.0575260869,1
5-FU,AZD1775,HCT116,DB00544,DB11740,13.9612713843,1
5-FU,AZD1775,HT144,DB00544,DB11740,6.0653890015,1
5-FU,AZD1775,HT29,DB00544,DB11740,-2.7122052410000004,1
5-FU,AZD1775,KPL1,DB00544,DB11740,-2.0611613488,1
5-FU,AZD1775,LOVO,DB00544,DB11740,-4.0015073281,1
5-FU,AZD1775,MDAMB436,DB00544,DB11740,23.3811341972,1
5-FU,AZD1775,NCIH1650,DB00544,DB11740,10.773397668,1
5-FU,AZD1775,NCIH2122,DB00544,DB11740,4.3178885654000005,1
5-FU,AZD1775,NCIH23,DB00544,DB11740,-7.1158991851,1
5-FU,AZD1775,NCIH460,DB00544,DB11740,13.5826976918,1
5-FU,AZD1775,NCIH520,DB00544,DB11740,2.5787085802000003,1
5-FU,AZD1775,OV90,DB00544,DB11740,-3.1936519467,1
5-FU,AZD1775,RKO,DB00544,DB11740,19.3332015124,1
5-FU,AZD1775,RPMI7951,DB00544,DB11740,16.722015115999998,1
5-FU,AZD1775,SKMEL30,DB00544,DB11740,2.2887188875,1
5-FU,AZD1775,SKMES1,DB00544,DB11740,33.3532583969,1
